date;station_uuid;diesel;e5;e10;dieselchange;e5change;e10change
2022-09-04 09:10:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.219;1.929;1.869;1;1;1
2022-09-04 11:05:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.929;1.869;1;0;0
2022-09-04 11:12:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.179;1.889;1.829;1;1;1
2022-09-04 11:37:06;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.169;1.889;1.829;1;0;0
2022-09-04 12:06:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.219;1.939;1.879;1;1;1
2022-09-04 12:45:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.219;1.929;1.869;0;1;1
2022-09-04 13:27:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.909;1.849;1;1;1
2022-09-04 14:24:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.179;1.889;1.829;1;1;1
2022-09-04 14:41:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.169;1.879;1.819;1;1;1
2022-09-04 15:01:06;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.209;1.919;1.859;1;1;1
2022-09-04 16:23:10;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.919;1.859;1;0;0
2022-09-04 16:39:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.919;1.859;1;0;0
2022-09-04 16:47:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.179;1.919;1.859;1;0;0
2022-09-04 17:08:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.939;1.879;1;1;1
2022-09-04 17:13:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.899;1.839;1;1;1
2022-09-04 18:31:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.169;1.899;1.839;1;0;0
2022-09-04 18:37:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.169;1.879;1.819;0;1;1
2022-09-04 19:02:10;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.909;1.849;1;1;1
2022-09-04 20:08:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.179;1.899;1.839;1;1;1
2022-09-04 20:34:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.169;1.879;1.819;1;1;1
2022-09-05 05:01:06;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;2.169;2.109;1;1;1
2022-09-05 07:53:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.899;1.839;0;1;1
2022-09-05 09:01:06;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.239;1.949;1.889;1;1;1
2022-09-05 09:46:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.219;1.949;1.889;1;0;0
2022-09-05 10:28:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.179;1.949;1.889;1;0;0
2022-09-05 11:13:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.169;1.949;1.889;1;0;0
2022-09-05 11:24:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.169;1.889;1.829;0;1;1
2022-09-05 12:10:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.219;1.939;1.879;1;1;1
2022-09-05 12:35:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.219;1.929;1.869;0;1;1
2022-09-05 14:08:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.929;1.869;1;0;0
2022-09-05 14:14:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.889;1.829;0;1;1
2022-09-05 15:11:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.239;1.929;1.869;1;1;1
2022-09-05 15:30:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.229;1.929;1.869;1;0;0
2022-09-05 15:44:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.219;1.929;1.869;1;0;0
2022-09-05 16:34:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.219;1.909;1.849;0;1;1
2022-09-05 16:48:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.909;1.849;1;0;0
